Id;Label;Category
0812Z;Exploitation de gravières et sablières, extraction d’argiles et de kaolin;B
0891Z;Extraction des minéraux chimiques et d'engrais minéraux;B
0892Z;Extraction de tourbe;B
0893Z;Production de sel;B
0899Z;Autres activités extractives n.c.a.;B
0910Z;Activités de soutien à l'extraction d'hydrocarbures;B
0990Z;Activités de soutien aux autres industries extractives;B
1011Z;Transformation et conservation de la viande de boucherie;C
1012Z;Transformation et conservation de la viande de volaille;C
1013A;Préparation industrielle de produits à base de viande;C
1013B;Charcuterie;C
1020Z;Transformation et conservation de poisson, de crustacés et de mollusques;C
1031Z;Transformation et conservation de pommes de terre;C
1032Z;Préparation de jus de fruits et légumes;C
1039A;Autre transformation et conservation de légumes;C
1039B;Transformation et conservation de fruits;C
1041A;Fabrication d'huiles et graisses brutes;C
1041B;Fabrication d'huiles et graisses raffinées;C
1042Z;Fabrication de margarine et graisses comestibles similaires;C
1051A;Fabrication de lait liquide et de produits frais;C
1051B;Fabrication de beurre;C
1051C;Fabrication de fromage;C
1051D;Fabrication d'autres produits laitiers;C
1052Z;Fabrication de glaces et sorbets;C
1061A;Meunerie;C
1061B;Autres activités du travail des grains;C
1062Z;Fabrication de produits amylacés;C
1071A;Fabrication industrielle de pain et de pâtisserie fraîche;C
1071B;Cuisson de produits de boulangerie;C
1071C;Boulangerie et boulangerie-pâtisserie;C
1071D;Pâtisserie;C
1072Z;Fabrication de biscuits, biscottes et pâtisseries de conservation;C
1073Z;Fabrication de pâtes alimentaires;C
1081Z;Fabrication de sucre;C
1082Z;Fabrication de cacao, chocolat et de produits de confiserie;C
1083Z;Transformation du thé et du café;C
1084Z;Fabrication de condiments et assaisonnements;C
1085Z;Fabrication de plats préparés;C
1086Z;Fabrication d'aliments homogénéisés et diététiques;C
1089Z;Fabrication d'autres produits alimentaires n.c.a.;C
1091Z;Fabrication d'aliments pour animaux de ferme;C
1092Z;Fabrication d'aliments pour animaux de compagnie;C
1101Z;Production de boissons alcooliques distillées;C
1102A;Fabrication de vins effervescents;C
1102B;Vinification;C
1103Z;Fabrication de cidre et de vins de fruits;C
1104Z;Production d'autres boissons fermentées non distillées;C
1105Z;Fabrication de bière;C
1106Z;Fabrication de malt;C
1107A;Industrie des eaux de table;C
1107B;Production de boissons rafraîchissantes;C
1200Z;Fabrication de produits à base de tabac;C
1310Z;Préparation de fibres textiles et filature;C
1320Z;Tissage;C
1330Z;Ennoblissement textile;C
1391Z;Fabrication d'étoffes à mailles;C
1392Z;Fabrication d'articles textiles, sauf habillement;C
1393Z;Fabrication de tapis et moquettes;C
1394Z;Fabrication de ficelles, cordes et filets;C
1395Z;Fabrication de non-tissés, sauf habillement;C
1396Z;Fabrication d'autres textiles techniques et industriels;C
1399Z;Fabrication d'autres textiles n.c.a.;C
1411Z;Fabrication de vêtements en cuir;C
1412Z;Fabrication de vêtements de travail;C
1413Z;Fabrication de vêtements de dessus;C
1414Z;Fabrication de vêtements de dessous;C
1419Z;Fabrication d'autres vêtements et accessoires;C
1420Z;Fabrication d'articles en fourrure;C
1431Z;Fabrication d'articles chaussants à mailles;C
1439Z;Fabrication d'autres articles à mailles;C
1511Z;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures";C
1512Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie;C
1520Z;Fabrication de chaussures;C
1610A;Sciage et rabotage du bois, hors imprégnation;C
1610B;Imprégnation du bois;C
1621Z;Fabrication de placage et de panneaux de bois;C
1622Z;Fabrication de parquets assemblés;C
1623Z;Fabrication de charpentes et d'autres menuiseries;C
1624Z;Fabrication d'emballages en bois;C
1629Z;"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie";C
1711Z;Fabrication de pâte à papier;C
1712Z;Fabrication de papier et de carton;C
1721A;Fabrication de carton ondulé;C
1721B;Fabrication de cartonnages;C
1721C;Fabrication d'emballages en papier;C
1722Z;Fabrication d'articles en papier à usage sanitaire ou domestique;C
1723Z;Fabrication d'articles de papeterie;C
1724Z;Fabrication de papiers peints;C
1729Z;Fabrication d'autres articles en papier ou en carton;C
1811Z;Imprimerie de journaux;C
1812Z;Autre imprimerie (labeur);C
1813Z;Activités de pré-presse;C
1814Z;Reliure et activités connexes;C
1820Z;Reproduction d'enregistrements;C
1910Z;Cokéfaction;C
1920Z;Raffinage du pétrole;C
2011Z;Fabrication de gaz industriels;C
2012Z;Fabrication de colorants et de pigments;C
2013A;Enrichissement et  retraitement de matières nucléaires;C
2013B;Fabrication d'autres produits chimiques inorganiques de base n.c.a.;C
2014Z;Fabrication d'autres produits chimiques organiques de base;C
2015Z;Fabrication de produits azotés et d'engrais;C
2016Z;Fabrication de matières plastiques de base;C
2017Z;Fabrication de caoutchouc synthétique;C
2020Z;Fabrication de pesticides et d’autres produits agrochimiques;C
2030Z;Fabrication de peintures, vernis, encres et mastics;C
2041Z;Fabrication de savons, détergents et produits d'entretien;C
2042Z;Fabrication de parfums et de produits pour la toilette;C
2051Z;Fabrication de produits explosifs;C
2052Z;Fabrication de colles;C
2053Z;Fabrication d'huiles essentielles;C
2059Z;Fabrication d'autres produits chimiques n.c.a.;C
