source;target;weight
2313;2312;1
2313;4778;1
2313;9003;1
2314;2060;1
2314;2399;1
2319;2313;4
2319;2829;1
2319;4531;1
2319;4636;1
2319;4673;1
2319;4778;1
2320;8552;1
2331;0812;1
2331;2320;1
2331;8559;1
2332;2331;1
2332;6820;1
2341;2370;1
2341;4391;1
2341;5520;1
2342;4673;1
2344;2343;1
2344;7219;2
2349;2341;1
2349;3213;1
2349;7830;1
2351;0812;1
2351;6820;1
2361;2363;4
2361;2364;1
2361;2592;1
2361;4673;1
2361;6630;1
2361;6820;2
2362;2352;1
2362;2442;1
2363;0812;1
2363;2361;2
2363;4399;1
2363;4673;1
2363;4941;2
2363;8211;1
2364;2030;1
2364;2361;1
2369;2361;1
2369;4399;1
2369;4511;1
2369;4673;1
2369;4674;1
2370;0811;2
2370;2369;1
2370;3102;1
2370;4333;3
2370;4399;5
2370;4399;10
2370;4649;1
2370;4673;3
2370;4674;1
2370;4759;1
2370;4778;3
2370;7022;1
2370;7490;1
2370;7739;1
2370;8129;1
2370;9603;11
2391;2399;1
2399;1729;1
2399;2351;1
2399;2361;1
2399;2364;1
2399;7010;1
2399;7830;1
2410;2444;1
2410;2562;1
2410;7112;1
2420;2445;1
2420;2511;2
2420;2530;1
2420;2562;1
2420;2814;1
2420;3311;2
2420;3320;2
2420;4332;1
2420;7010;1
2433;1621;1
2433;2550;1
2433;7022;1
2434;4669;1
2441;2454;1
2441;3212;1
2441;4672;1
2442;2550;1
2442;4672;1
2442;7022;1
2443;4672;1
2444;2562;1
2445;2511;2
2445;2512;1
2445;2550;1
2454;2452;1
2454;5610;1
2511;1623;1
2511;2512;8
2511;2529;2
2511;2530;1
2511;2550;1
2511;2562;4
2511;2599;3
2511;2830;1
2511;3311;2
2511;3312;1
2511;3320;14
2511;4332;8
2511;4339;1
2511;4399;5
2511;6420;1
2511;6820;3
2511;7010;1
2511;7022;2
2511;7112;3
2511;8211;1
2512;1392;1
2512;2223;1
2512;2511;3
2512;2550;2
2512;2825;1
2512;4332;2
2512;4332;4
2512;4673;2
2512;7010;1
2521;2530;1
2529;2651;1
2529;2822;1
2530;7010;1
2540;3311;1
2540;4764;1
2540;4778;1
2550;2599;1
2550;3320;2
2550;4332;2
2550;4520;1
2550;2420;1
2550;2433;1
2550;2511;3
2550;2599;1
2550;2932;1
2550;3312;1
2550;3320;1
2550;4399;1
2550;4669;1
2561;2312;1
2561;2562;3
2561;2899;1
2561;4334;1
2561;4511;1
2561;4520;1
2561;4778;1
2561;5610;1
2561;6420;1
2561;6630;2
2561;7022;1
2561;7739;1
2561;8129;1
2562;2562;4
2562;2573;1
2562;4673;1
2562;2399;1
2562;2511;5
2562;2512;1
2562;2540;1
2562;2561;1
2562;2562;1
2562;2572;1
2562;2573;5
2562;2573;2
2562;2815;1
2562;2822;1
2562;2829;1
2562;2830;1
2562;2899;2
2562;2932;1
2562;3311;2
2562;3312;16
2562;3314;1
2562;3316;1
2562;3320;3
2562;3320;2
2562;4321;1
2562;4329;1
2562;4332;2
2562;4520;4
2562;4520;1
2562;4540;1
2562;4669;1
2562;4674;1
2562;6420;1
2562;6820;3
2562;6920;1
2562;7010;2
2562;7112;2
2562;7711;1
2562;8211;2
2562;9003;1
2571;4649;1
2571;4759;1
2572;2512;1
2572;2550;1
2572;2550;1
2572;2599;1
2572;4332;2
2572;4333;1
2572;7112;1
2573;2562;1
2573;3299;3
2573;3311;1
2573;4332;1
2573;4669;1
2573;6810;1
2573;1520;1
2573;2051;1
2573;2550;1
2573;2562;1
2573;2573;3
2573;2599;1
2573;2822;1
2573;3311;3
2573;3312;1
2573;4674;1
2573;7010;2
2593;2434;1
