source;target;count
2512Z;2511Z;3
2512Z;2512Z;2
2512Z;2550A;2
2512Z;2825Z;1
2512Z;4332A;2
2512Z;4332B;4
2512Z;4673A;2
2512Z;7010Z;1
2521Z;2530Z;1
2529Z;2651B;1
2529Z;2822Z;1
252H;6202A;1
2530Z;7010Z;1
2540Z;2540Z;1
2540Z;3311Z;1
2540Z;4764Z;1
2540Z;4778C;1
2550A;2599B;1
2550A;3320A;2
2550A;4332B;2
2550A;4520A;1
2550B;2420Z;1
2550B;2433Z;1
2550B;2511Z;3
2550B;2599A;1
2550B;2932Z;1
2550B;3312Z;1
2550B;3320A;1
2550B;4399C;1
2550B;4669B;1
2561Z;2312Z;1
2561Z;2561Z;3
2561Z;2562B;3
2561Z;2899B;1
2561Z;4334Z;1
2561Z;4511Z;1
2561Z;4520A;1
2561Z;4778C;1
2561Z;5610C;1
2561Z;6420Z;1
2561Z;6630Z;2
2561Z;7022Z;1
2561Z;7739Z;1
2561Z;8129A;1
2562A;2562B;4
2562A;2573B;1
2562A;4673A;1
2562B;2399Z;1
2562B;2511Z;5
2562B;2512Z;1
2562B;2540Z;1
2562B;2561Z;1
2562B;2562A;1
2562B;2562B;11
2562B;2572Z;1
2562B;2573A;5
2562B;2573B;2
2562B;2815Z;1
2562B;2822Z;1
2562B;2829A;1
2562B;2830Z;1
2562B;2899B;2
2562B;2932Z;1
2562B;3311Z;2
2562B;3312Z;16
2562B;3314Z;1
2562B;3316Z;1
2562B;3320A;3
2562B;3320B;2
2562B;4321A;1
2562B;4329A;1
2562B;4332B;2
2562B;4520A;4
2562B;4520B;1
2562B;4540Z;1
2562B;4669B;1
2562B;4674B;1
2562B;6420Z;1
2562B;6820B;3
2562B;6920Z;1
2562B;7010Z;2
2562B;7112B;2
2562B;7711A;1
2562B;8211Z;2
2562B;9003A;1
2571Z;4649Z;1
2571Z;4759B;1
2572Z;2512Z;1
2572Z;2550A;1
2572Z;2550B;1
2572Z;2599B;1
2572Z;4332B;2
2572Z;4333Z;1
2572Z;7112B;1
2573A;2562B;1
2573A;2573A;3
2573A;3299Z;3
2573A;3311Z;1
2573A;4332A;1
2573A;4669C;1
2573A;6810Z;1
2573B;1520Z;1
2573B;2051Z;1
2573B;2550B;1
2573B;2562B;1
2573B;2573A;3
2573B;2573B;1
2573B;2599B;1
2573B;2822Z;1
2573B;3311Z;3
2573B;3312Z;1
2573B;4674A;1
2573B;7010Z;2
2593Z;2434Z;1
2593Z;2594Z;1
2593Z;4669B;1
2593Z;7112B;1
2594Z;2562B;1
2594Z;2599B;1
2594Z;7112B;1
2599A;2571Z;1
2599A;2599B;1
2599B;2223Z;1
2599B;2511Z;1
2599B;2550A;2
2599B;2562B;1
2599B;2571Z;1
2599B;2599A;1
2599B;2599B;2
2599B;2740Z;1
2599B;2829B;1
2599B;3099Z;1
2599B;3311Z;1
2599B;4211Z;2
2599B;4332B;1
2599B;4669B;2
2599B;6820B;2
2599B;8690E;1
2611Z;2512Z;1
2611Z;2562A;1
2611Z;2611Z;1
2611Z;2612Z;2
2611Z;2711Z;1
2611Z;3320D;1
2611Z;3511Z;1
2611Z;4669A;1
2611Z;4672Z;1
2611Z;6201Z;2
2611Z;7112B;1
2611Z;7219Z;4
2612Z;2314Z;1
2612Z;2611Z;3
2612Z;2612Z;1
2612Z;2651A;1
2612Z;2651B;1
2612Z;3250A;1
2612Z;3313Z;1
2612Z;3320D;1
2612Z;4652Z;2
2612Z;6820B;2
2620Z;2620Z;2
2620Z;3312Z;1
2620Z;3320D;1
2620Z;5829B;1
2620Z;5829C;1
2620Z;6201Z;1
2620Z;6202A;1
2620Z;6203Z;1
2620Z;6630Z;1
2620Z;7219Z;1
2620Z;9511Z;2
2630Z;2630Z;2
2630Z;2640Z;1
2630Z;2790Z;1
2630Z;3320D;6
2630Z;4652Z;3
2630Z;5920Z;1
2630Z;6110Z;1
2630Z;6202A;2
2630Z;7219Z;1
2630Z;7311Z;1
2630Z;7410Z;1
2630Z;8020Z;1
2630Z;9512Z;1
2640Z;2825Z;1
2640Z;2931Z;1
2640Z;4669A;1
2640Z;4743Z;1
2640Z;4791B;1
2640Z;6201Z;1
2640Z;9521Z;1
2651A;2651A;1
2651A;3316Z;1
2651A;3320C;1
2651A;4791B;1
2651B;2059Z;1
2651B;2611Z;1
2651B;2630Z;1
2651B;2660Z;1
2651B;2670Z;2
2651B;2813Z;1
2651B;2829B;1
2651B;2899B;1
2651B;3313Z;4
2651B;4399D;1
2651B;4652Z;2
2651B;7120B;2
2651B;7219Z;1
2652Z;2229B;1
2652Z;2652Z;2
2652Z;4321A;1
2652Z;4648Z;1
2652Z;7010Z;1
2652Z;9525Z;1
2660Z;2660Z;1
2660Z;3313Z;1
2660Z;4646Z;1
2660Z;4774Z;1
2670Z;2561Z;1
2670Z;2651B;2
2670Z;2670Z;1
2670Z;3250B;2
2670Z;4643Z;1
2670Z;4646Z;1
2670Z;4649Z;1
2670Z;4778A;5
2680Z;4321A;1
2711Z;2711Z;1
2711Z;3314Z;1
2711Z;3320D;1
2711Z;3511Z;1
2711Z;4321A;1
2711Z;4669A;1
2711Z;4669B;1
2711Z;6420Z;1
2711Z;6820A;1
2712Z;2511Z;1
2712Z;2599B;1
2712Z;2611Z;1
2712Z;2733Z;1
2712Z;2830Z;1
2712Z;3314Z;1
2712Z;3320D;2
2712Z;4321A;1
2712Z;4322B;1
2712Z;4669C;1
2720Z;3511Z;1
2720Z;4669A;2
2731Z;3320D;1
2731Z;9511Z;1
2732Z;2599B;1
2732Z;2732Z;1
2732Z;4669A;1
2732Z;6820B;1
2733Z;2611Z;1
2733Z;2712Z;2
2733Z;2732Z;1
2733Z;3312Z;1
2733Z;4321A;1
2733Z;4690Z;1
2733Z;7112B;1
2733Z;8121Z;1
2740Z;2229B;1
2740Z;2611Z;1
2740Z;2731Z;1
2740Z;2740Z;1
2740Z;3320D;1
2740Z;4618Z;1
2740Z;4647Z;1
2740Z;4669A;1
2740Z;7010Z;1
2740Z;7112B;1
2740Z;7311Z;1
2740Z;7410Z;2
2740Z;9002Z;1
2751Z;2813Z;1
2751Z;2931Z;1
2751Z;4643Z;1
2752Z;3314Z;1
2752Z;3320D;1
2752Z;4759A;1
2790Z;2599B;1
2790Z;2611Z;2
2790Z;2612Z;1
2790Z;2660Z;1
2790Z;2711Z;2
2790Z;2732Z;1
2790Z;2740Z;1
2790Z;2751Z;1
2790Z;2790Z;4
2790Z;2830Z;1
2790Z;3320D;3
2790Z;4211Z;1
2790Z;4321A;1
2790Z;4329B;1
2790Z;4669A;1
2790Z;4791A;1
2790Z;6110Z;1
2790Z;6202A;1
2811Z;2651B;1
2811Z;2815Z;1
2811Z;3312Z;1
2811Z;3314Z;1
2811Z;4321A;1
2811Z;4669B;3
2811Z;7112B;1
2812Z;2562B;1
2812Z;2814Z;1
2812Z;2822Z;1
2812Z;2920Z;1
2812Z;3312Z;2
2812Z;3320B;1
2812Z;4221Z;1
2812Z;4332B;1
2812Z;4619B;1
2812Z;4669B;2
2813Z;2511Z;1
2813Z;2815Z;1
2813Z;3312Z;3
2814Z;2454Z;1
2814Z;3320B;1
2814Z;4674B;1
2815Z;3320C;1
2815Z;4669B;1
2821Z;2821Z;1
2821Z;3312Z;1
2821Z;7112B;1
2822Z;2511Z;1
2822Z;2822Z;1
2822Z;2830Z;1
2822Z;3312Z;8
2822Z;3320B;4
2822Z;4329B;3
2822Z;4520A;1
2822Z;4669B;4
2822Z;4669C;1
2822Z;4759B;1
2822Z;6420Z;1
2822Z;7022Z;1
2822Z;7739Z;2
2825Z;2599B;2
2825Z;2712Z;1
2825Z;2825Z;2
2825Z;2920Z;1
2825Z;3312Z;7
2825Z;3320A;1
2825Z;3320B;18
2825Z;4322B;4
2825Z;4669B;2
2825Z;6820B;1
2825Z;7112B;1
2829A;2899B;1
2829A;3312Z;2
2829A;3320B;1
2829A;4669B;2
2829A;8299Z;1
2829B;1396Z;1
2829B;2511Z;1
2829B;2550B;1
2829B;2822Z;1
2829B;2829A;1
2829B;2829B;1
2829B;2893Z;1
2829B;2899B;3
2829B;3312Z;5
2829B;3320A;1
2829B;3320B;4
2829B;4669B;2
2829B;4669C;2
2829B;7010Z;1
2829B;7490B;1
2830Z;2550A;1
2830Z;2550B;1
2830Z;2822Z;2
2830Z;2830Z;1
2830Z;2920Z;1
2830Z;3312Z;2
2830Z;3320A;1
2830Z;3320B;1
2830Z;4661Z;1
2830Z;4674A;1
2830Z;7490B;1
2841Z;0220Z;1
2841Z;2229A;1
2841Z;2562B;1
2841Z;2790Z;1
2841Z;2849Z;1
2841Z;3312Z;4
2841Z;3320B;1
2841Z;4662Z;1
2841Z;4669B;1
2841Z;6630Z;1
2841Z;7112B;1
2849Z;2899B;2
2849Z;3312Z;1
2892Z;1623Z;1
2892Z;2812Z;1
2892Z;2829B;1
2892Z;3320B;1
2892Z;4663Z;1
2892Z;7732Z;1
2893Z;2433Z;1
2893Z;2512Z;1
2893Z;2599B;1
2893Z;2829B;1
2893Z;2893Z;1
2893Z;3101Z;1
2893Z;3312Z;4
2893Z;3320A;2
2893Z;3320B;2
2894Z;1392Z;1
2894Z;2899B;1
2894Z;6820B;1
2896Z;2899B;1
2899A;4669C;1
2899B;2562B;3
2899B;2573B;1
2899B;2611Z;1
2899B;2660Z;1
2899B;2822Z;1
2899B;2825Z;1
2899B;2829B;1
2899B;2830Z;1
2899B;2841Z;3
2899B;2892Z;1
2899B;2893Z;1
2899B;2899B;2
2899B;7112B;1
2899B;8129B;1
2910Z;2910Z;2
2910Z;2920Z;4
2910Z;4511Z;3
2910Z;4519Z;1
2910Z;4520A;2
2910Z;9329Z;1
2920Z;1392Z;1
2920Z;2529Z;1
2920Z;2599B;1
2920Z;2910Z;1
2920Z;2932Z;1
2920Z;3312Z;1
2920Z;4511Z;1
2920Z;4520A;3
2920Z;4520B;5
2920Z;4669B;1
2920Z;4672Z;1
2920Z;6420Z;1
2920Z;7022Z;1
2931Z;2740Z;1
2931Z;4531Z;3
2931Z;4669B;1
2932Z;2562B;1
2932Z;2572Z;1
2932Z;2920Z;2
2932Z;3109A;1
2932Z;4339Z;1
2932Z;4531Z;2
2932Z;4661Z;1
2932Z;7010Z;1
297A;2751Z;1
3011Z;2511Z;1
3011Z;2732Z;1
3011Z;3012Z;1
3011Z;3315Z;2
3011Z;4669B;1
3011Z;5020Z;2
3011Z;7010Z;1
3012Z;2229A;1
3012Z;2815Z;1
3012Z;3011Z;2
3012Z;3315Z;2
3012Z;4399C;1
3012Z;4649Z;1
3020Z;3317Z;1
3030Z;3030Z;2
3030Z;7112B;2
3092Z;3230Z;1
3092Z;4649Z;1
3099Z;6820B;1
3101Z;1623Z;2
3101Z;3101Z;2
3101Z;3109B;5
3101Z;4329B;1
3101Z;4332B;1
3101Z;4332C;1
3101Z;4649Z;1
3101Z;4759A;1
3102Z;3102Z;1
3102Z;3109B;8
3102Z;4332A;3
3102Z;4759A;2
3109A;1392Z;1
3109A;3101Z;1
3109A;3109B;1
3109B;1392Z;1
3109B;1623Z;11
3109B;1629Z;1
3109B;1812Z;1
3109B;2370Z;1
3109B;2920Z;1
3109B;3101Z;22
3109B;3102Z;6
3109B;3109B;4
3109B;4120A;1
3109B;4312A;1
3109B;4332A;13
3109B;4332B;3
3109B;4332C;2
3109B;4391A;1
3109B;4540Z;1
3109B;4647Z;3
3109B;4673A;1
3109B;4674B;1
3109B;4759A;2
3109B;4759B;2
3109B;4779Z;2
3109B;4941B;1
3109B;5520Z;1
3109B;5920Z;1
3109B;6820B;1
3109B;7111Z;1
3109B;7410Z;1
3109B;7729Z;1
3109B;7732Z;1
3109B;8299Z;2
3109B;9003A;1
3109B;9524Z;4
3212Z;3212Z;1
3212Z;3213Z;2
3212Z;4648Z;1
3212Z;4777Z;3
3213Z;1419Z;1
3213Z;2319Z;1
3213Z;3212Z;1
3213Z;3213Z;3
3213Z;3250B;1
3213Z;4648Z;1
3213Z;4649Z;1
3213Z;4711B;1
3213Z;4771Z;1
3213Z;4777Z;2
3213Z;4778C;4
3213Z;4791B;1
3220Z;3220Z;2
3220Z;3319Z;3
3220Z;4669B;1
3220Z;9529Z;3
3230Z;2223Z;1
3230Z;2511Z;1
3230Z;2562B;1
3230Z;2571Z;1
3230Z;3230Z;2
3230Z;3250A;1
3230Z;4399D;1
3230Z;4649Z;1
3230Z;4665Z;1
3230Z;4764Z;5
3230Z;7112B;1
3230Z;7912Z;1
3230Z;9329Z;1
3230Z;9525Z;1
3240Z;1629Z;1
3240Z;2562B;1
3240Z;3109B;1
3240Z;3240Z;2
3240Z;4649Z;6
3240Z;4741Z;1
3240Z;4765Z;3
3240Z;5819Z;2
3240Z;5911C;1
3240Z;9329Z;2
3250A;1396Z;1
3250A;2229A;1
3250A;2651B;2
3250A;2660Z;3
3250A;3250A;2
3250A;3320D;1
3250A;4619B;1
3250A;4646Z;6
3250A;4774Z;13
3250A;5829C;1
3250A;6820B;7
3250A;7010Z;1
3250A;7219Z;1
3250A;8121Z;1
3250A;8211Z;1
3250A;8559B;1
3250A;8690E;1
3250B;3250B;4
3250B;4322A;1
3250B;4643Z;1
3250B;4778A;6
3250B;7112B;1
3291Z;4649Z;1
3299Z;0161Z;1
3299Z;1413Z;1
3299Z;1511Z;1
3299Z;1729Z;1
3299Z;1812Z;1
3299Z;2042Z;2
3299Z;2053Z;1
3299Z;2059Z;1
3299Z;2120Z;1
3299Z;2223Z;1
3299Z;2369Z;1
3299Z;2599B;1
3299Z;2620Z;1
3299Z;2651A;1
3299Z;2825Z;1
3299Z;2829B;1
3299Z;2899B;1
3299Z;3101Z;1
3299Z;3109B;1
3299Z;3250A;1
3299Z;3291Z;1
3299Z;3299Z;6
3299Z;4332A;1
3299Z;4642Z;3
3299Z;4644Z;1
3299Z;4646Z;1
3299Z;4662Z;1
3299Z;4669B;1
3299Z;4669C;1
3299Z;4690Z;1
3299Z;4774Z;1
3299Z;4776Z;1
3299Z;4778C;2
3299Z;4791B;1
3299Z;5610A;1
3299Z;5610C;1
3299Z;7112B;3
3299Z;7410Z;3
3299Z;8690F;1
3299Z;9003A;2
3311Z;2511Z;4
3311Z;2562B;1
3311Z;2573A;1
3311Z;2573B;1
3311Z;2920Z;1
3311Z;3040Z;1
3311Z;3312Z;2
3311Z;3314Z;1
3311Z;3320A;8
3311Z;4322A;1
3311Z;4322B;1
3311Z;4332B;2
3311Z;4661Z;1
3311Z;4669B;1
3311Z;6420Z;1
3312Z;0161Z;2
3312Z;0220Z;1
3312Z;2511Z;2
3312Z;2562B;24
3312Z;2573A;1
3312Z;2651A;1
3312Z;2670Z;1
3312Z;2821Z;1
3312Z;2822Z;2
3312Z;2829B;1
3312Z;2830Z;2
3312Z;2841Z;3
3312Z;2920Z;1
3312Z;3030Z;1
3312Z;3311Z;4
3312Z;3312Z;13
3312Z;3313Z;1
3312Z;3320A;1
3312Z;3320B;18
3312Z;4120B;1
3312Z;4311Z;1
3312Z;4322A;1
3312Z;4322B;5
3312Z;4329B;1
3312Z;4332B;2
3312Z;4511Z;2
3312Z;4520A;5
3312Z;4520B;1
3312Z;4532Z;1
3312Z;4540Z;3
3312Z;4651Z;1
3312Z;4661Z;17
3312Z;4662Z;1
3312Z;4663Z;2
3312Z;4669B;8
3312Z;4669C;1
3312Z;4674A;1
3312Z;4674B;1
3312Z;4741Z;1
3312Z;4752A;3
3312Z;4778B;1
3312Z;5229B;1
3312Z;5610C;2
3312Z;6630Z;1
3312Z;6820B;3
3312Z;7010Z;1
3312Z;7112B;1
3312Z;7732Z;2
3312Z;7739Z;1
3312Z;8020Z;1
3312Z;8121Z;1
3312Z;8130Z;1
3312Z;8211Z;1
3312Z;9511Z;1
3312Z;9522Z;1
3312Z;9529Z;2
3313Z;2829B;1
3313Z;2920Z;1
3313Z;3250A;1
3313Z;3312Z;1
3313Z;3313Z;3
3313Z;3320C;1
3313Z;4520A;1
3313Z;4646Z;1
3313Z;4652Z;3
3313Z;4669B;1
3313Z;6820B;1
3313Z;9521Z;1
3313Z;9522Z;1
3314Z;3312Z;2
3314Z;3313Z;1
3314Z;3314Z;2
3314Z;3320A;1
3314Z;3320B;1
3314Z;3320C;1
3314Z;3320D;3
3314Z;4332B;1
3314Z;4662Z;1
3314Z;4669A;3
3314Z;4669B;1
3314Z;4774Z;1
3314Z;6203Z;1
3314Z;7022Z;1
3314Z;8020Z;1
3314Z;9522Z;2
3314Z;9601B;1
3315Z;2511Z;1
3315Z;3011Z;1
3315Z;3012Z;4
3315Z;3040Z;1
3315Z;3312Z;2
3315Z;3315Z;3
3315Z;3320B;1
3315Z;3511Z;1
3315Z;4614Z;1
3315Z;4649Z;15
3315Z;4669B;3
3315Z;4764Z;3
3315Z;4791B;1
3315Z;5030Z;1
3315Z;5222Z;1
3315Z;5630Z;1
3315Z;7010Z;1
3315Z;7721Z;1
3315Z;8122Z;1
3316Z;3030Z;3
3316Z;3316Z;1
3316Z;7311Z;1
3316Z;8553Z;1
3317Z;2920Z;1
3317Z;3311Z;1
3317Z;4520A;1
3317Z;8129B;1
3319Z;2219Z;1
3319Z;2812Z;1
3319Z;2932Z;1
3319Z;3220Z;1
3319Z;3312Z;1
3319Z;3319Z;2
3319Z;3320B;1
3319Z;3832Z;1
3319Z;4329B;1
3319Z;4673A;2
3319Z;7739Z;1
3320A;2511Z;73
3320A;2512Z;1
3320A;2529Z;1
3320A;2562B;3
3320A;2822Z;1
3320A;2825Z;1
3320A;2899B;1
3320A;3012Z;1
3320A;3101Z;1
3320A;3109B;1
3320A;3311Z;18
3320A;3312Z;1
3320A;3320A;9
3320A;3320B;2
3320A;3320D;1
3320A;4120B;1
3320A;4322A;2
3320A;4332B;1
3320A;4391A;1
3320A;4399B;1
3320A;4520B;1
3320A;4649Z;1
3320A;4673A;1
3320A;6420Z;1
3320A;6820B;1
3320A;8559A;1
3320B;2511Z;1
3320B;2790Z;1
3320B;2822Z;3
3320B;2829B;1
3320B;2893Z;1
3320B;3311Z;1
3320B;3312Z;11
3320B;3320B;6
3320B;3320C;1
3320B;3320D;1
3320B;4321A;2
3320B;4322B;6
3320B;4329A;1
3320B;4399D;1
3320B;4531Z;1
3320B;4641Z;1
3320B;4669B;3
3320B;4669C;3
3320B;6820B;3
3320B;6832A;1
3320B;7112B;1
3320B;8121Z;1
3320B;9329Z;1
3320B;9529Z;2
3320C;2562B;1
3320C;2620Z;2
3320C;2630Z;1
3320C;2651B;3
3320C;2712Z;2
3320C;2733Z;1
3320C;2814Z;1
3320C;2825Z;1
3320C;2899B;5
3320C;3312Z;2
3320C;3313Z;1
3320C;3320B;1
3320C;4321A;1
3320C;4322B;1
3320C;4652Z;1
3320C;4669A;1
3320C;6201Z;1
3320C;6209Z;1
3320C;6810Z;1
3320C;6820B;2
3320C;7022Z;1
3320C;7112B;1
3320C;8559A;1
3320D;2511Z;1
3320D;2630Z;1
3320D;2651B;1
3320D;2712Z;1
3320D;2733Z;1
3320D;2790Z;1
3320D;2899B;1
3320D;3312Z;2
3320D;3313Z;2
3320D;3314Z;9
3320D;3320B;2
3320D;3320C;1
3320D;3320D;5
3320D;4222Z;1
3320D;4321A;2
3320D;4322A;1
3320D;4322B;1
3320D;4646Z;1
3320D;4651Z;1
3320D;4669C;1
3320D;4673A;1
3320D;6420Z;1
3320D;6820B;1
3320D;7022Z;1
3320D;7112B;2
3320D;7739Z;1
3320D;8020Z;1
3320D;9002Z;2
3320D;9512Z;2
333Z;8810A;1
3511Z;0111Z;1
3511Z;0141Z;1
3511Z;0146Z;1
3511Z;0161Z;1
3511Z;0220Z;2
3511Z;1610A;1
3511Z;3314Z;1
3511Z;3511Z;7
3511Z;3514Z;3
3511Z;3521Z;4
3511Z;3530Z;9
3511Z;3821Z;3
3511Z;4222Z;3
3511Z;4321A;4
3511Z;4322B;2
3511Z;4399B;1
3511Z;4621Z;2
3511Z;4623Z;1
3511Z;4644Z;1
3511Z;4669A;1
3511Z;4725Z;1
3511Z;4729Z;1
3511Z;5520Z;2
3511Z;6420Z;2
3511Z;6430Z;1
3511Z;6630Z;3
3511Z;6820B;2
3511Z;7010Z;1
3511Z;7112B;6
3511Z;7490B;1
3511Z;7911Z;1
3511Z;8211Z;1
3512Z;3511Z;1
3513Z;3511Z;2
3513Z;3514Z;1
3514Z;3314Z;1
3514Z;3511Z;1
3514Z;3513Z;1
3514Z;4329B;1
3514Z;4669A;1
3514Z;4799A;1
3514Z;7112B;3
3514Z;8299Z;1
3521Z;3511Z;2
3521Z;3521Z;3
3521Z;7112B;1
3522Z;3523Z;2
3522Z;7112B;1
3523Z;2825Z;1
3523Z;3522Z;1
3530Z;3311Z;1
3530Z;3320A;1
3530Z;3511Z;10
3530Z;3530Z;3
3530Z;4322B;1
3530Z;4671Z;1
3530Z;7022Z;1
3530Z;9329Z;1
3600Z;2511Z;1
3600Z;3600Z;3
3600Z;3700Z;3
3600Z;4322A;1
365Z;2899B;1
3700Z;3600Z;2
3700Z;3700Z;1
3700Z;3821Z;1
3700Z;3900Z;1
3700Z;4221Z;1
3700Z;4312A;1
3700Z;4312B;1
3700Z;4321A;1
3700Z;4322A;2
3700Z;4391B;1
3700Z;4669B;1
3700Z;4941A;1
3700Z;6420Z;1
3700Z;7740Z;1
3700Z;8129B;1
3811Z;3320B;1
3811Z;3700Z;1
3811Z;3811Z;5
3811Z;3812Z;1
3811Z;3821Z;6
3811Z;3832Z;6
3811Z;6420Z;1
3811Z;7010Z;1
3811Z;7711A;1
3812Z;2899B;1
3812Z;3811Z;1
3812Z;3822Z;2
3812Z;3832Z;1
3812Z;4941B;1
3812Z;8122Z;1
3821Z;3314Z;1
3821Z;3511Z;1
3821Z;3521Z;4
3821Z;3530Z;1
3821Z;3700Z;1
3821Z;3811Z;5
3821Z;3821Z;6
3821Z;3822Z;2
3821Z;3831Z;1
3821Z;3832Z;6
3821Z;4651Z;1
3821Z;6831Z;1
3821Z;7490B;1
3822Z;3812Z;2
3822Z;3821Z;2
3822Z;3900Z;1
3822Z;4299Z;1
3822Z;7120B;1
3831Z;3812Z;1
3831Z;3821Z;1
3831Z;3831Z;3
3831Z;3832Z;3
3831Z;4519Z;1
3831Z;4520A;1
3831Z;4520B;1
3831Z;4532Z;1
3831Z;4540Z;1
3831Z;4677Z;3
3831Z;4778B;1
3831Z;4779Z;1
3832Z;0812Z;1
3832Z;1012Z;1
3832Z;1092Z;1
3832Z;1392Z;1
3832Z;1624Z;1
3832Z;1629Z;2
3832Z;2016Z;1
3832Z;2030Z;1
3832Z;2059Z;1
3832Z;2219Z;1
3832Z;2361Z;1
3832Z;3319Z;1
3832Z;3811Z;4
3832Z;3821Z;2
3832Z;3831Z;7
3832Z;4311Z;3
3832Z;4312A;1
3832Z;4511Z;1
3832Z;4520A;2
3832Z;4649Z;1
3832Z;4673A;2
3832Z;4677Z;4
3832Z;4690Z;1
3832Z;4941A;1
3832Z;4941B;2
3832Z;4942Z;1
3832Z;5210B;1
3832Z;5221Z;1
3832Z;5530Z;1
3832Z;6420Z;1
3832Z;6820B;1
3832Z;7010Z;1
3832Z;7120B;1
3832Z;7732Z;2
3832Z;7739Z;2
3832Z;7830Z;1
3832Z;8129B;1
3832Z;8211Z;1
3832Z;8219Z;1
3900Z;2829B;1
3900Z;3311Z;1
3900Z;3900Z;1
4110A;0121Z;1
4110A;3511Z;1
4110A;4110A;11
4110A;4110B;3
4110A;4110C;12
4110A;4110D;8
4110A;4120A;16
4110A;4120B;2
4110A;4299Z;10
4110A;4331Z;1
4110A;4399C;4
4110A;4673A;1
4110A;4759A;1
4110A;5510Z;3
4110A;5520Z;4
4110A;5610C;1
4110A;6420Z;1
4110A;6810Z;14
4110A;6820A;8
4110A;6820B;26
4110A;6831Z;10
4110A;6832A;2
4110A;6832B;1
4110A;7010Z;3
4110A;7022Z;1
4110A;7111Z;1
4110A;7112B;5
4110A;7410Z;1
4110A;7490A;1
4110A;7490B;2
4110A;8211Z;1
4110A;8899B;1
4110B;4110A;3
4110B;4110C;2
4110B;4120B;1
4110B;6820B;1
4110B;6831Z;1
4110B;7010Z;1
4110B;7112B;1
4110C;4110A;10
4110C;4110B;7
4110C;4110C;8
4110C;4110D;1
4110C;4120A;2
4110C;4120B;1
4110C;4299Z;8
4110C;4639B;1
4110C;5520Z;1
4110C;6810Z;7
4110C;6820A;1
4110C;6820B;5
4110C;6832A;1
4110C;7022Z;1
4110C;7490A;1
4110C;7712Z;1
4110C;9329Z;1
4110D;3511Z;5
4110D;4110A;22
4110D;4110B;1
4110D;4110C;2
4110D;4110D;6
4110D;4299Z;2
4110D;4399C;1
4110D;5510Z;1
4110D;5520Z;1
4110D;6810Z;1
4110D;6820A;6
4110D;6820B;12
4110D;6831Z;2
4110D;7010Z;2
4110D;7022Z;1
4110D;7112B;1
4120A;1623Z;4
4120A;2511Z;1
4120A;3101Z;1
4120A;3109B;1
4120A;3317Z;1
4120A;3700Z;1
4120A;4110A;11
4120A;4120A;33
4120A;4120B;36
4120A;4311Z;1
4120A;4312A;2
4120A;4321A;4
4120A;4322A;4
4120A;4322B;4
4120A;4329A;5
4120A;4331Z;11
4120A;4332A;8
4120A;4333Z;8
4120A;4334Z;8
4120A;4339Z;5
4120A;4391A;4
4120A;4391B;2
4120A;4399A;2
4120A;4399B;1
4120A;4399C;80
4120A;4399D;1
4120A;4399E;1
4120A;4520A;1
4120A;4613Z;1
4120A;4673A;2
4120A;4941A;1
4120A;5610C;2
4120A;6420Z;4
4120A;6810Z;2
4120A;6820B;4
4120A;7010Z;1
4120A;7111Z;2
4120A;7112B;5
4120A;7490A;6
4120A;7739Z;1
4120A;8121Z;1
4120A;8299Z;3
4120A;8690F;1
4120A;9311Z;1
4120B;2361Z;1
4120B;3511Z;1
4120B;3821Z;1
4120B;4110A;1
4120B;4120A;22
4120B;4120B;11
4120B;4299Z;2
4120B;4311Z;1
4120B;4312A;1
4120B;4321A;3
4120B;4322A;3
4120B;4322B;3
4120B;4329A;2
4120B;4331Z;1
4120B;4332A;2
4120B;4333Z;5
4120B;4334Z;4
4120B;4399A;1
4120B;4399C;23
4120B;4399D;3
4120B;4511Z;1
4120B;4520A;1
4120B;4673A;1
4120B;4941A;1
4120B;5510Z;1
4120B;5610A;1
4120B;6420Z;1
4120B;6810Z;2
4120B;6820A;3
4120B;6820B;3
4120B;6831Z;1
4120B;6832A;1
4120B;7010Z;3
4120B;7111Z;1
4120B;7112B;7
4120B;7410Z;1
4120B;7732Z;1
4120B;7739Z;1
4120B;8110Z;1
4120B;8130Z;1
4120B;9001Z;1
4211Z;0812Z;2
4211Z;3700Z;1
4211Z;4211Z;2
4211Z;4221Z;1
4211Z;4312A;4
4211Z;4312B;1
4211Z;4333Z;1
4211Z;4399C;1
4211Z;4399E;1
4211Z;4520A;1
4211Z;4669B;1
4211Z;4711B;1
4211Z;4942Z;1
4211Z;6820B;1
4212Z;4321A;1
4213A;4211Z;1
4213A;4213A;1
4213A;4213B;1
4213A;4299Z;2
4221Z;3700Z;2
4221Z;4211Z;4
4221Z;4221Z;4
4221Z;4222Z;1
4221Z;4291Z;1
4221Z;4299Z;3
4221Z;4312A;8
4221Z;4312B;1
4221Z;4399D;1
4221Z;4941B;1
4221Z;5221Z;1
4221Z;6820B;1
4221Z;7112B;1
4221Z;8299Z;1
4222Z;4120A;1
4222Z;4221Z;1
4222Z;4222Z;2
4222Z;4321A;6
4222Z;4321B;1
4222Z;5223Z;1
4222Z;6201Z;1
4222Z;6630Z;1
4222Z;7021Z;1
4222Z;7112B;2
4222Z;8130Z;1
4291Z;4399B;1
4299Z;3312Z;1
4299Z;3511Z;1
4299Z;4110A;5
4299Z;4110C;4
4299Z;4110D;1
4299Z;4120A;1
4299Z;4211Z;3
