source;target;count
1012Z;0147Z;1
1012Z;1011Z;1
1012Z;1013A;1
1012Z;4623Z;1
1012Z;5610C;1
1013A;1012Z;1
1013A;1013B;6
1013A;1085Z;1
1013A;4639B;1
1013A;4711B;1
1013A;4722Z;3
1013A;4759B;1
1013A;6420Z;1
1013A;6832A;1
1013B;0141Z;1
1013B;1013A;3
1013B;1013B;3
1013B;1020Z;1
1013B;1061B;1
1013B;1085Z;1
1013B;3511Z;1
1013B;4722Z;4
1013B;4729Z;1
1013B;4781Z;4
1013B;4932Z;1
1013B;5610A;3
1013B;5610C;4
1013B;5621Z;18
1013B;6619A;1
1013B;6630Z;2
1013B;6820A;1
1013B;6820B;2
1013B;7721Z;1
1020Z;4638A;1
1020Z;4791B;1
1020Z;5610A;2
1020Z;5621Z;1
1031Z;4511Z;1
1031Z;4631Z;1
1031Z;5610C;1
1032Z;1032Z;2
1032Z;4631Z;1
1032Z;8559A;1
1039A;0113Z;1
1039A;0161Z;1
1039A;1020Z;1
1039A;1031Z;1
1039A;1039B;1
1039A;4781Z;1
1039A;5621Z;1
1039A;7010Z;1
1039A;8292Z;1
1039B;0161Z;1
1039B;0163Z;1
1039B;1039B;1
1039B;1071A;1
1039B;4638B;1
1041A;1041B;1
1041A;4633Z;1
1041A;5210B;1
1041B;1041A;3
1051A;1051A;2
1051A;1051C;2
1051A;4722Z;1
1051C;0141Z;1
1051C;1051C;1
1051C;3511Z;1
1051C;4633Z;2
1051C;4690Z;1
1051C;4711B;1
1051C;4729Z;1
1051C;5520Z;1
1051C;5911B;1
1051C;6820B;2
1051D;1051A;1
1052Z;1071D;1
1052Z;3530Z;1
1052Z;5610A;2
1052Z;5610C;4
1052Z;6630Z;1
1052Z;7010Z;1
1061A;1091Z;2
1061A;4621Z;1
1061A;6420Z;1
1061B;0161Z;1
1061B;1073Z;1
1061B;4638B;1
1071A;1071B;1
1071A;1071C;4
1071A;1071D;1
1071A;1085Z;2
1071A;5610C;1
1071A;5621Z;1
1071B;1071A;3
1071B;1071B;11
1071B;1071C;22
1071B;1071D;4
1071B;1073Z;1
1071B;4399C;1
1071B;4711B;1
1071B;4721Z;1
1071B;4724Z;2
1071B;4781Z;1
1071B;5610A;2
1071B;5610B;1
1071B;5610C;21
1071B;5621Z;1
1071B;5629B;1
1071B;6420Z;1
1071B;6630Z;2
1071B;6820A;1
1071B;6820B;1
1071B;7010Z;1
1071B;7410Z;1
1071C;1052Z;1
1071C;1071A;6
1071C;1071B;3
1071C;1071C;10
1071C;1071D;5
1071C;1072Z;3
1071C;1073Z;1
1071C;1082Z;2
1071C;4511Z;1
1071C;4520A;2
1071C;4617A;1
1071C;4724Z;8
1071C;4729Z;1
1071C;4781Z;7
1071C;4932Z;1
1071C;4939A;1
1071C;5520Z;2
1071C;5610A;8
1071C;5610C;27
1071C;5621Z;3
1071C;5630Z;2
1071C;6420Z;6
1071C;6630Z;8
1071C;6810Z;2
1071C;6820A;1
1071C;6820B;31
1071C;6831Z;2
1071C;6832A;1
1071C;7010Z;12
1071C;7022Z;6
1071C;7311Z;1
1071C;7711A;1
1071C;7732Z;1
1071C;8299Z;1
1071C;8559A;2
1071D;1071B;1
1071D;1071C;16
1071D;1071D;9
1071D;1072Z;3
1071D;1082Z;4
1071D;4724Z;16
1071D;4761Z;1
1071D;4791B;1
1071D;5520Z;1
1071D;5610A;7
1071D;5610C;9
1071D;5621Z;3
1071D;6820B;2
1071D;6832A;1
1072Z;1072Z;2
1072Z;1082Z;1
1072Z;1085Z;1
1072Z;5510Z;1
1072Z;5610A;1
1072Z;5621Z;1
1073Z;1073Z;1
1073Z;1085Z;1
1073Z;5610C;3
1073Z;5621Z;1
1081Z;1101Z;1
1082Z;1071C;1
1082Z;1071D;3
1082Z;1083Z;1
1082Z;1200Z;1
1082Z;4638B;1
1082Z;4639B;1
1082Z;4791B;1
1082Z;5610C;1
1082Z;6420Z;1
1082Z;6430Z;1
1082Z;6810Z;1
1082Z;7022Z;1
1083Z;4619B;1
1083Z;4637Z;1
1083Z;4638B;1
1083Z;4724Z;1
1083Z;5610C;2
1083Z;5630Z;1
1083Z;6630Z;1
1084Z;1101Z;1
1084Z;2041Z;1
1085Z;1013A;1
1085Z;1020Z;1
1085Z;1032Z;1
1085Z;1051A;1
1085Z;1052Z;1
1085Z;1071D;1
1085Z;1085Z;1
1085Z;1089Z;1
1085Z;4618Z;1
1085Z;4722Z;2
1085Z;4781Z;1
1085Z;5610A;3
1085Z;5610C;8
1085Z;6820B;1
1085Z;7010Z;1
1086Z;1051A;2
1086Z;1086Z;1
1086Z;1089Z;1
1086Z;3320C;1
1089Z;0111Z;1
1089Z;1013A;1
1089Z;1039A;1
1089Z;1039B;1
1089Z;1072Z;1
1089Z;1082Z;1
1089Z;1089Z;3
1089Z;2053Z;1
1089Z;2059Z;1
1089Z;4631Z;1
1089Z;4633Z;3
1089Z;4723Z;1
1089Z;4729Z;1
1089Z;4781Z;1
1089Z;5610C;7
1089Z;5621Z;1
1089Z;7010Z;2
1091Z;1051D;1
1091Z;1061A;1
1091Z;1062Z;1
1091Z;1091Z;2
1091Z;1092Z;1
1091Z;4621Z;4
1091Z;4675Z;1
1091Z;4752B;1
1092Z;1091Z;1
1092Z;1092Z;1
1101Z;1102B;1
1101Z;1104Z;1
1101Z;4634Z;2
1101Z;4725Z;1
1102A;1102B;2
1102B;0121Z;5
1102B;1102A;4
1102B;1102B;3
1102B;6820B;1
1102B;8292Z;1
1103Z;0124Z;1
1104Z;1101Z;1
1104Z;1104Z;2
1105Z;1101Z;1
1105Z;1105Z;1
1105Z;4634Z;1
1105Z;4725Z;1
1105Z;5610A;1
1105Z;5630Z;2
1200Z;0321Z;1
1200Z;1020Z;1
1310Z;1310Z;1
1310Z;4771Z;1
1310Z;5210B;1
1320Z;1320Z;1
1320Z;1330Z;1
1320Z;1392Z;5
1320Z;1512Z;1
1320Z;4641Z;1
1330Z;1419Z;1
1330Z;1623Z;1
1330Z;1724Z;1
1330Z;1812Z;6
1330Z;4664Z;1
1392Z;1320Z;2
1392Z;1392Z;4
1392Z;1396Z;1
1392Z;1413Z;1
1392Z;1512Z;1
1392Z;1623Z;1
1392Z;2511Z;1
1392Z;2512Z;1
1392Z;3109A;1
1392Z;3109B;1
1392Z;4332A;1
1392Z;4641Z;3
1392Z;4642Z;1
1392Z;4647Z;1
1392Z;4751Z;1
1392Z;6820B;1
1392Z;8299Z;2
1392Z;9319Z;1
1392Z;9529Z;1
1392Z;9609Z;1
1394Z;1394Z;1
1394Z;2593Z;1
1395Z;4641Z;1
1396Z;1392Z;2
1396Z;1396Z;2
1396Z;4641Z;1
1396Z;7211Z;1
1399Z;1392Z;1
1399Z;1395Z;1
1399Z;1396Z;4
1399Z;1812Z;1
1399Z;4641Z;1
1411Z;4649Z;1
1411Z;4771Z;2
1412Z;1413Z;1
1412Z;4669B;1
1412Z;7112B;1
1413Z;1412Z;1
1413Z;1413Z;5
1413Z;1414Z;1
1413Z;1419Z;2
1413Z;1439Z;1
1413Z;1512Z;1
1413Z;1812Z;1
1413Z;2222Z;1
1413Z;2829B;1
1413Z;4641Z;1
1413Z;4642Z;5
1413Z;4751Z;1
1413Z;4754Z;1
1413Z;4759B;1
1413Z;4771Z;9
